token,frequency,token_preprocessed
حد,346,حد
رتويت,64,رتويت
الزمالك,310,الزمالك
القرف,10,القرف
الدنيا,216,الدنيا
ابيض,11,ابيض
يااسود,2,يااسود
دنيا,17,دنيا
الالوان,3,الالوان
حط,25,حط
لوني,3,لوني
لونك,2,لونك
نوصل,8,نوصل
ابعد,13,ابعد
مكان,149,مكان
حلم,65,حلم
وله,20,وله
بداية,212,بداية
شرط,12,شرط
تكون,280,تكون
معايا,37,معايا
كاريوكى,12,كاريوكى
إعتراض,6,إعتراض
صاروخ,48,صاروخ
باليستي,10,باليستي
أطلقه,6,أطلقه
الحوثيون,18,الحوثيون
مأرب,13,مأرب
العربي,3443,العربي
القم,8,القم
ياوضيع,4,ياوضيع
منتخبك,5,منتخبك
بدون,383,بدون
بعام,3,بعام
2013,26,2013
تم,323,تم
اختيار,45,اختيار
جونسو,2,جونسو
كاشهر,2,كاشهر
فنان,34,فنان
اجنبي,12,اجنبي
بالصين,2,بالصين
طريق,156,طريق
برنامجBTV,2,برنامجBTV
المباشر,99,المباشر
للجوائز,2,للجوائز
جستن,204,جستن
بيبر,192,بيبر
بالمركز,4,بالمركز
الثاني,180,الثاني
ht,12,ht
هل,822,هل
انتهت,67,انتهت
مرحلة,52,مرحلة
الاحباط,4,الاحباط
المسيحي,10,المسيحي
بوصول,3,بوصول
الرئاسة,129,الرئاسة
احببت,4,احببت
فيك,102,فيك
الضني,2,الضني
الناطق,5,الناطق
المعبر,6,المعبر
انها,239,انها
الانسانية,30,الانسانية
كلها,196,كلها
قلب,696,قلب
مصطفي,25,مصطفي
محمود,248,محمود
ضي,2,ضي
هدنة,40,هدنة
تدخل,64,تدخل
حيز,3,حيز
التنفيذ,23,التنفيذ
لإجلاء,2,لإجلاء
نحو,64,نحو
٣,294,٣
٠,642,٠
السكان,15,السكان
المحاصرين,3,المحاصرين
بدء,52,بدء
بالجرحى,2,بالجرحى
ثم,358,ثم
كبار,50,كبار
السن,13,السن
مسلحي,11,مسلحي
المقاومةو,2,المقاومةو
الزعيم,65,الزعيم
يرأس,3,يرأس
اجتماعا,11,اجتماعا
استثنائيا,4,استثنائيا
للجنة,16,للجنة
العامة,66,العامة
للمؤتمر,7,للمؤتمر
وأحزاب,5,وأحزاب
16,74,16
zyt,2,zyt
امام,255,امام
بايدن,2,بايدن
لبغداد,2,لبغداد
ويشيد,5,ويشيد
بالتقدم,3,بالتقدم
الكبير,75,الكبير
الموصل,62,الموصل
أسبوع,36,أسبوع
3,518,3
أحكام,6,أحكام
مثيرة,10,مثيرة
للجدل,11,للجدل
أصدرت,4,أصدرت
براءة,17,براءة
نجلي,2,نجلي
مبارك,293,مبارك
2,506,2
الغاء,40,الغاء
حكم,284,حكم
الاعدام,13,الاعدام
مرسي,464,مرسي
رفع,172,رفع
أحمد,458,أحمد
شفيق,224,شفيق
الترقب,14,الترقب
عندي,124,عندي
أدنى,15,أدنى
شك,24,شك
أنصار,32,أنصار
تيارات,4,تيارات
الشعارات,12,الشعارات
الإسلامية,72,الإسلامية
سيلجأون,2,سيلجأون
قريبا,93,قريبا
جدا,481,جدا
لتصفية,6,لتصفية
المختلفين,4,المختلفين
الرأي,63,الرأي
هروبا,3,هروبا
فشلهم,5,فشلهم
حل,144,حل
أزمات,12,أزمات
الواقع,65,الواقع
تقرير,94,تقرير
خطير,26,خطير
لصحيفة,4,لصحيفة
الغارديان,7,الغارديان
توغلات,2,توغلات
إيران,543,إيران
البحر,66,البحر
المتوسط,47,المتوسط
هالاجازة,2,هالاجازة
مثل,454,مثل
الطفل,43,الطفل
راح,213,راح
أمه,27,أمه
للجيران,2,للجيران
وكان,128,وكان
مستحي,2,مستحي
يلعب,91,يلعب
عيالهم,5,عيالهم
ويوم,15,ويوم
بدأ,80,بدأ
يمون,4,يمون
عليهم,268,عليهم
ويلعب,12,ويلعب
مشينا,1,مشينا
ماذا,381,ماذا
المدارس,177,المدارس
مختلطه,116,مختلطه
مواجهة,114,مواجهة
ناجحة,17,ناجحة
للتطرف,3,للتطرف
إنقاذ,21,إنقاذ
للتعايش,3,للتعايش
إلا,354,إلا
بتفعيل,2,بتفعيل
سيادة,68,سيادة
وحماية,11,وحماية
حقوق,157,حقوق
الأقلية,3,الأقلية
قبل,1076,قبل
الأغلبية,6,الأغلبية
والمحاسبة,2,والمحاسبة
الناجزة,4,الناجزة
للمتورطين,2,للمتورطين
العنف,61,العنف
الصفحة,13,الصفحة
لصناع,3,لصناع
تهنئكم,2,تهنئكم
بقدوم,5,بقدوم
عيد,191,عيد
الفطر,9,الفطر
المبارك,33,المبارك
وانتم,49,وانتم
بخير,84,بخير
مفاجأة,57,مفاجأة
تطور,37,تطور
هاتف,88,هاتف
آيفون,44,آيفون
8,255,8
الشعب,854,الشعب
اجمل,80,اجمل
حاجه,187,حاجه
وسط,108,وسط
الهموم,3,الهموم
بيقدر,8,بيقدر
يخلق,10,يخلق
الضحكه,2,الضحكه
الجبير,39,الجبير
يلجم,6,يلجم
ظريف,10,ظريف
ويؤكد,16,ويؤكد
تستطيع,51,تستطيع
تبرئة,4,تبرئة
سجلها,9,سجلها
تمويل,22,تمويل
لشراء,14,لشراء
سيارات,26,سيارات
ونقل,12,ونقل
ركاب,10,ركاب
كريم,108,كريم
أوبر,64,أوبر
توطين,3,توطين
التاكسي,4,التاكسي
فرص,37,فرص
معارضو,6,معارضو
يراهنون,4,يراهنون
أعضاء,20,أعضاء
الهيئة,30,الهيئة
الانتخابية,25,الانتخابية
لعدم,29,لعدم
تثبيته,4,تثبيته
رئيسا,70,رئيسا
السذج,6,السذج
صدقوا,7,صدقوا
هجوم,58,هجوم
الاعلام,228,الاعلام
بهجوم,2,بهجوم
عماد,35,عماد
اديب,134,اديب
ولميس,6,ولميس
وخيرى,2,وخيرى
وتهديدهم,2,وتهديدهم
بمقاضاته,2,بمقاضاته
حلقة,70,حلقة
المرة,26,المرة
استجيبت,2,استجيبت
الدعوة,28,الدعوة
وخيرت,4,وخيرت
الهم,15,الهم
الكرب,5,الكرب
فأيهما,3,فأيهما
تختار,24,تختار
وما,273,وما
الفرق,131,الفرق
اللجوء,28,اللجوء
حبينا,4,حبينا
نشاركم,2,نشاركم
اجواء,8,اجواء
الميلاد,76,الميلاد
الحلوة,26,الحلوة
عشناها,5,عشناها
الاسبوع,27,الاسبوع
Jerusalem,2,Jerusalem
ChristmasTree,4,ChristmasTree
فافرينكا,12,فافرينكا
سئل,10,سئل
يتمناه,35,يتمناه
لرياضةالتنس,4,لرياضةالتنس
الاعوام,4,الاعوام
المقبلة,26,المقبلة
رد,143,رد
بصحة,5,بصحة
جيدة,31,جيدة
كمال,30,كمال
التنس,56,التنس
مات,55,مات
الرجال,58,الرجال
الذين,256,الذين
يستحقون,21,يستحقون
الموت,71,الموت
وعاش,10,وعاش
الأنذال,4,الأنذال
بوكيمون,190,بوكيمون
ينادون,4,ينادون
حسين,97,حسين
اوباما,123,اوباما
لانه,111,لانه
مكنهم,2,مكنهم
ديار,2,ديار
العرب,681,العرب
وقد,80,وقد
دنى,2,دنى
رحيله,12,رحيله
شبيهة,3,شبيهة
كيم,16,كيم
كارداشيان,6,كارداشيان
ترقص,36,ترقص
أنغام,3,أنغام
أغاني,14,أغاني
بيونسيه,212,بيونسيه
زفافها,4,زفافها
إيدي,6,إيدي
ريدماين,4,ريدماين
يخترق,6,يخترق
عالم,126,عالم
تريلار,4,تريلار
FantasticBeastsAndWhereToFindThem,4,FantasticBeastsAndWhereToFindThem
MBCMAX,4,MBCMAX
يريدون,32,يريدون
ليطفئوا,2,ليطفئوا
نور,62,نور
اللهحسبنا,2,اللهحسبنا
ونعم,74,ونعم
الوكيل,71,الوكيل
أساس,35,أساس
عالمية,43,عالمية
نفس,282,نفس
وبرشلونة,6,وبرشلونة
ومانشستر,7,ومانشستر
بالله,184,بالله
ماتسحتون,2,ماتسحتون
تقولون,15,تقولون
عالمي,60,عالمي
لوحة,14,لوحة
مفاتيح,7,مفاتيح
الكمبيوتر,14,الكمبيوتر
للكتابة,4,للكتابة
اندرويد,22,اندرويد
موسى,65,موسى
يعرض,15,يعرض
قصيدة,22,قصيدة
الراحل,31,الراحل
معمر,9,معمر
القذافى,9,القذافى
قصف,67,قصف
الناتو,311,الناتو
90,53,90
دقيقة,66,دقيقة
معتز,51,معتز
عبدالفتاح,63,عبدالفتاح
المناظرة,40,المناظرة
الذهلي,2,الذهلي
ثقافه,7,ثقافه
تنفع,7,تنفع
القريه,4,القريه
ورزانه,2,ورزانه
بإختصار,7,بإختصار
يحطونه,2,يحطونه
واجهه,5,واجهه
يشرف,10,يشرف
ماشاء,26,ماشاء
قصور,9,قصور
بعيالنا,1,بعيالنا
الاعاده,11,الاعاده
تصبحو,3,تصبحو
نادين,150,نادين
نسيب,127,نسيب
نجيم,128,نجيم
تعرف,237,تعرف
الشركات,46,الشركات
الأعلى,17,الأعلى
قيمة,69,قيمة
اقتصاد,41,اقتصاد
مبتعث,6,مبتعث
يعمل,98,يعمل
مطعم,14,مطعم
متنقل,2,متنقل
حصوله,3,حصوله
الماجستير,5,الماجستير
كني,4,كني
حج,8,حج
بسام,7,بسام
انو,91,انو
فلسطينية,15,فلسطينية
ضلو,2,ضلو
يحمو,2,يحمو
فرع,27,فرع
المخابرات,24,المخابرات
الجوية,36,الجوية
لمدة,116,لمدة
سنتين,35,سنتين
يتدخلو,3,يتدخلو
المليشيات,13,المليشيات
الشيعية,19,الشيعية
سورية,240,سورية
لجنة,114,لجنة
إزالة,7,إزالة
النقاط,18,النقاط
والعشوائيات,2,والعشوائيات
المهرة,4,المهرة
تناقش,6,تناقش
التنسيق,6,التنسيق
الامن,66,الامن
لبدء,5,لبدء
مهامها,2,مهامها
لسه,112,لسه
مبقتش,8,مبقتش
شركاء,25,شركاء
اوبر,150,اوبر
الفرصه,9,الفرصه
فأديك,2,فأديك
4,422,4
خطوات,16,خطوات
;,55,;
هتجيب,2,هتجيب
فيش,10,فيش
وتشبيه,2,وتشبيه
موجه,12,موجه
لشركه,4,لشركه
يوجد,110,يوجد
تيار,16,تيار
بقوة,31,بقوة
قام,113,قام
بالثوره,3,بالثوره
عاجل,517,عاجل
تساقط,31,تساقط
الثلوج,28,الثلوج
لساعات,6,لساعات
قليلة,27,قليلة
مساء,222,مساء
العاصمة,48,العاصمة
الأردن,68,الأردن
بيان,65,بيان
حول,287,حول
اجتماع,87,اجتماع
خارجية,127,خارجية
الدول,440,الدول
الأعضاء,6,الأعضاء
حلف,83,حلف
هولاند,7,هولاند
قرار,200,قرار
مجلس,435,مجلس
الأمن,242,الأمن
يجب,237,يجب
يتبنى,3,يتبنى
وقف,109,وقف
إطلاق,49,إطلاق
نار,76,نار
فرنسا,235,فرنسا
وهب,3,وهب
البويضات,2,البويضات
علاج,24,علاج
جدلي,2,جدلي
للعقم,2,للعقم
تباد,70,تباد
بصمت,14,بصمت
عربيمصدر,2,عربيمصدر
معلومات,60,معلومات
الغربي,152,الغربي
الاشتراكي,4,الاشتراكي
الأمريكي,116,الأمريكي
بلال,20,بلال
عبدالكريم,11,عبدالكريم
إعلامي,12,إعلامي
اقتراح,14,اقتراح
سياسي,93,سياسي
سيريانيوز,2,سيريانيوز
لمزيد,10,لمزيد
الأخبار,79,الأخبار
افتعلت,6,افتعلت
١,887,١
سبتمبر,37,سبتمبر
اتوقع,55,اتوقع
دي,492,دي
المفروض,94,المفروض
تحاسب,5,تحاسب
عليها,276,عليها
دعمت,25,دعمت
أفغنستان,4,أفغنستان
ضد,1044,ضد
سوفيتي,4,سوفيتي
Retweeted,113,Retweeted
الحرية,200,الحرية
والعدالة,36,والعدالة
مرشح,98,مرشح
بأمر,14,بأمر
ابن,257,ابن
زايد,95,زايد
تحدثنا,2,تحدثنا
الكتاب,58,الكتاب
الجميل,62,الجميل
خروج,156,خروج
المصريين,254,المصريين
السلاطين,6,السلاطين
وقت,187,وقت
الحديث,50,الحديث
خنوع,4,خنوع
موضةهذا,2,موضةهذا
الجزء,43,الجزء
أمنيتنا,4,أمنيتنا
متابع,39,متابع
لهذا,106,لهذا
الحساب,48,الحساب
نهاية,249,نهاية
شهر,171,شهر
1438,2,1438
هساهموا,2,هساهموا
معنا,56,معنا
أحبتي,6,أحبتي
الكرام,10,الكرام
بنشر,5,بنشر
اللهتوافق,2,اللهتوافق
المجاهدين,21,المجاهدين
كلمة,221,كلمة
سواء,96,سواء
فوحدهم,2,فوحدهم
وثبت,2,وثبت
اقدامهم,3,اقدامهم
ونصرهم,2,ونصرهم
الطغاة,22,الطغاة
المجرمين,30,المجرمين
ولله,28,ولله
الحمد,145,الحمد
صفوت,14,صفوت
حجازي,28,حجازي
سوف,174,سوف
تصبح,33,تصبح
العريش,3,العريش
عاصمة,19,عاصمة
للولايات,10,للولايات
المتحدةبس,2,المتحدةبس
نتلايم,2,نتلايم
الاول,166,الاول
كلك,5,كلك
زوق,4,زوق
بجد,99,بجد
والأكيد,2,والأكيد
يلي,51,يلي
لقيته,5,لقيته
فينا,57,فينا
مما,87,مما
عندكم,40,عندكم
لإنه,13,لإنه
فانز,9,فانز
اليسا,127,اليسا
بجننوا,2,بجننوا
متلها,2,متلها
قلبا,14,قلبا
وقالبا,7,وقالبا
تانكيو,2,تانكيو
عراف,4,عراف
بلغاري,3,بلغاري
يحدث,132,يحدث
الأسبوع,56,الأسبوع
ويراهن,3,ويراهن
حاجة,291,حاجة
كدا,104,كدا
ع,611,ع
الماشي,1,الماشي
mannequinchallenge,20,mannequinchallenge
هاش,3,هاش
احلم,8,احلم
بدولة,8,بدولة
يورد,2,يورد
الالاف,14,الالاف
الاماني,2,الاماني
عقول,20,عقول
الحالمين,2,الحالمين
ولأبناء,2,ولأبناء
الحالمة,2,الحالمة
نصيب,33,نصيب
احلامنا,9,احلامنا
كتبت,38,كتبت
فهل,39,فهل
مستجيب,3,مستجيب
بكفي,22,بكفي
اضبطوا,12,اضبطوا
المخلوع,37,المخلوع
لمدينة,28,لمدينة
2200,6,2200
مسلح,5,مسلح
عائلاتهم,7,عائلاتهم
راجع,23,راجع
الساحل,14,الساحل
وسأسعى,3,وسأسعى
للحضورباذن,2,للحضورباذن
الف,179,الف
مبروك,167,مبروك
مباريات,242,مباريات
الخميس,70,الخميس
15,146,15
ديسمبر,95,ديسمبر
كلوب,72,كلوب
الإتفاق,3,الإتفاق
الباطن,12,الباطن
الفيصلي,11,الفيصلي
الغرافه,2,الغرافه
جنوى,4,جنوى
فيورنتينا,6,فيورنتينا
صاحب,142,صاحب
السمو,51,السمو
الأمير,235,الأمير
حمد,111,حمد
بن,1221,بن
خليفة,291,خليفة
آل,137,آل
ثاني,75,ثاني
خلال,479,خلال
مراسم,19,مراسم
تأبين,12,تأبين
زعيم,45,زعيم
كوبا,50,كوبا
فيديل,22,فيديل
كاسترو,176,كاسترو
الجو,34,الجو
السلاب,4,السلاب
روسيااا,2,روسيااا
بره,34,بره
السودان,56,السودان
اخبار,207,اخبار
تكنولوجيا,34,تكنولوجيا
يحتاج,70,يحتاج
للشحن,5,للشحن
كفاية,59,كفاية
عندك,109,عندك
التايملاين,3,التايملاين
ولو,153,ولو
فاهم,41,فاهم
يبقى,143,يبقى
مشكلتي,3,مشكلتي
بتحاول,9,بتحاول
اما,178,اما
سخافة,3,سخافة
قلة,30,قلة
أدب,21,أدب
كندريك,2,كندريك
لمار,2,لمار
عبقرياللي,2,عبقرياللي
ديلان,164,ديلان
الاسود,16,الاسود
بيظلمه,2,بيظلمه
Shia,6,Shia
