emoticon,english_translation,arabic_translation
✊ 🏾,raised_fist_medium-dark_skin_tone,رفع قبضة لون البشرة المتوسطة الغامقة
✊ 🏼,raised_fist_medium-light_skin_tone,رفع قبضة لون البشرة المتوسط ​​الفاتح
✊ 🏽,raised_fist_medium_skin_tone,رفع قبضة لون البشرة المتوسطة
✋,raised_hand,رفع اليد
✋ 🏿,raised_hand_dark_skin_tone,رفع اليد لهجة البشرة الداكنة
✋ 🏻,raised_hand_light_skin_tone,رفع اليد لهجة البشرة الفاتحة
✋ 🏾,raised_hand_medium-dark_skin_tone,رفع اليد لهجة البشرة المتوسطة الغامقة
✋ 🏼,raised_hand_medium-light_skin_tone,يد مرفوعة بلون بشرة متوسط ​​فاتح
✋ 🏽,raised_hand_medium_skin_tone,رفع اليد لون بشرة متوسط
🖐,raised_hand_with_fingers_splayed,رفع اليد بأصابع مفلطحة
🖐 🏿,raised_hand_with_fingers_splayed_dark_skin_tone,رفع اليد بأصابع مفلطحة لون البشرة الداكنة
🖐 🏻,raised_hand_with_fingers_splayed_light_skin_tone,رفع اليد بأصابع مفلطحة لون البشرة الفاتح
🖐 🏾,raised_hand_with_fingers_splayed_medium-dark_skin_tone,يد مرفوعة بأصابع مفلطحة بلون بشرة داكن متوسط
🖐 🏼,raised_hand_with_fingers_splayed_medium-light_skin_tone,يد مرفوعة بأصابع مفلطحة لون بشرة متوسط ​​إلى فاتح
🖐 🏽,raised_hand_with_fingers_splayed_medium_skin_tone,يد مرفوعة بأصابع مفلطحة لون بشرة متوسط
🙌,raising_hands,رفع اليدين
🙌 🏿,raising_hands_dark_skin_tone,رفع اليدين بلون البشرة الداكنة
🙌 🏻,raising_hands_light_skin_tone,رفع اليدين بلون البشرة الفاتح
🙌 🏾,raising_hands_medium-dark_skin_tone,رفع اليدين بلون بشرة متوسط ​​الغامق
🙌 🏼,raising_hands_medium-light_skin_tone,رفع اليدين بشرة متوسطة الفاتحة
🙌 🏽,raising_hands_medium_skin_tone,رفع اليدين متوسط ​​لون البشرة
🐏,ram,"الرامات ""الذاكرة العشوائية في الهواتف والحواسيب"
🐀,rat,فأر
⏺,record_button,زر التسجيل
♻,recycling_symbol,رمز إعادة التدوير
🍎,red_apple,تفاحة حمراء
🔴,red_circle,دائرة حمراء
❤,red_heart,قلب أحمر
🏮,red_paper_lantern,فانوس الورق الأحمر
🔻,red_triangle_pointed_down,وأشار مثلث أحمر لأسفل
🔺,red_triangle_pointed_up,وأشار المثلث الأحمر
®,registered,مسجل
😌,relieved_face,وجه مرتاح
🎗,reminder_ribbon,شريط تذكير
🔁,repeat_button,زر التكرار
🔂,repeat_single_button,كرر زر واحد
⛑,rescue_worker’s_helmet,خوذة عامل الانقاذ
🚻,restroom,غرفة الاستراحة
◀,reverse_button,زر عكسي
💞,revolving_hearts,قلوب تدور
🦏,rhinoceros,وحيد القرن
🎀,ribbon,شريط
🍙,rice_ball,كرة الأرز
🍘,rice_cracker,كسارة الأرز
🤜,right-facing_fist,قبضة اليد اليمنى
🤜 🏿,right-facing_fist_dark_skin_tone,قبضة ذات لون البشرة الداكن
🤜 🏻,right-facing_fist_light_skin_tone,قبضة ذات لون بشرة فاتحة
🤜 🏾,right-facing_fist_medium-dark_skin_tone,قبضة لليمين بلون بشرة متوسط ​​الغامق
🤜 🏼,right-facing_fist_medium-light_skin_tone,قبضة لليمين بلون بشرة متوسط ​​الفاتح
🤜 🏽,right-facing_fist_medium_skin_tone,قبضة ذات لون بشرة متوسط
🔎,right-pointing_magnifying_glass,عدسة مكبرة لليمين
🗯,right_anger_bubble,فقاعة الغضب الصحيحة
➡,right_arrow,السهم الأيمن
⤵,right_arrow_curving_down,منحني السهم الأيمن لأسفل
↩,right_arrow_curving_left,السهم الأيمن منحني اليسار
⤴,right_arrow_curving_up,منحنى السهم الأيمن
💍,ring,حلقة
🍠,roasted_sweet_potato,بطاطا حلوة محمصة
🤖,robot_face,وجه الروبوت
🚀,rocket,صاروخ
🗞,rolled-up_newspaper,صحيفة مطوية
🎢,roller_coaster,السفينة الدوارة
🤣,rolling_on_the_floor_laughing,يتدحرج على الارض من الضحك
🐓,rooster,الديك
🌹,rose,ارتفع
🏵,rosette,روزيت
📍,round_pushpin,جولة دبوس
🏉,rugby_football,كرة الرجبي
🎽,running_shirt,قميص الجري
👟,running_shoe,حذاء الجري
⛵,sailboat,مركب شراعي
🍶,sake,مصلحة
🛰,satellite,الأقمار الصناعية
📡,satellite_antenna,هوائي القمر الصناعي
🎷,saxophone,ساكسفون
🏫,school,مدرسة
🎒,school_backpack,حقيبة مدرسية
✂,scissors,مقص
🦂,scorpion,برج العقرب
📜,scroll,التمرير
💺,seat,مقعد
🙈,see-no-evil_monkey,قرد لا يرى الشر
🌱,seedling,الشتلات
🤳,selfie,صورة شخصية
🤳 🏿,selfie_dark_skin_tone,صورة شخصية للون البشرة الداكنة
🤳 🏻,selfie_light_skin_tone,لون البشرة الفاتح selfie
🤳 🏾,selfie_medium-dark_skin_tone,صورة شخصية بلون بشرة داكن متوسط
🤳 🏼,selfie_medium-light_skin_tone,لون بشرة سيلفي فاتح ومتوسط
🤳 🏽,selfie_medium_skin_tone,لون بشرة سيلفي متوسط
🕢,seven-thirty,سبعة و ثلاثون
🕖,seven_o’clock,الساعة السابعة
🥘,shallow_pan_of_food,مقلاة ضحلة من الطعام
☘,shamrock,النفل
🦈,shark,قرش
🍧,shaved_ice,الجليد حلق
🌾,sheaf_of_rice,حزمة من الأرز
🐑,sheep,خروف
🛡,shield,درع
⛩,shinto_shrine,ضريح شنتو
🚢,ship,سفينة
🌠,shooting_star,شهاب
🛍,shopping_bags,أكياس التسوق
🛒,shopping_cart,عربة التسوق
🍰,shortcake,كعكة صغيرة
🚿,shower,دش
🦐,shrimp,جمبري
🔀,shuffle_tracks_button,زر المسارات العشوائية
🤘,sign_of_the_horns,علامة القرون
🤘 🏿,sign_of_the_horns_dark_skin_tone,علامة على القرون لون البشرة الداكنة
🤘 🏻,sign_of_the_horns_light_skin_tone,علامة القرون بلون البشرة الفاتح
🤘 🏾,sign_of_the_horns_medium-dark_skin_tone,علامة القرون ذات لون بشرة متوسط ​​الغامق
🤘 🏼,sign_of_the_horns_medium-light_skin_tone,علامة القرون متوسطة إلى لون البشرة الفاتح
🤘 🏽,sign_of_the_horns_medium_skin_tone,علامة القرون متوسطة لون البشرة
🕡,six-thirty,ستة وثلاثين
🕕,six_o’clock,الساعة السادسة تماما
⛷,skier,المتزحلق
🎿,skis,الزلاجات
💀,skull,جمجمة
☠,skull_and_crossbones,جمجمة وعظمتين متقاطعتين
😴,sleeping_face,وجه نائم
😪,sleepy_face,وجه نائم
🙁,slightly_frowning_face,وجه عابس قليلا
🙂,slightly_smiling_face,وجه مبتسم قليلا
🎰,slot_machine,فتحة آلة
🛩,small_airplane,طائرة صغيرة
🔹,small_blue_diamond,الماس الأزرق الصغير
🔸,small_orange_diamond,الماس البرتقالي الصغير
😻,smiling_cat_face_with_heart-eyes,وجه قطة مبتسم بعيون قلب
😺,smiling_cat_face_with_open_mouth,وجه قطة مبتسم بفم مفتوح
☺,smiling_face,وجه مبتسم
😇,smiling_face_with_halo,وجه مبتسم بهالة
😍,smiling_face_with_heart-eyes,وجه مبتسم بعيون قلب
😈,smiling_face_with_horns,وجه مبتسم بقرون
😃,smiling_face_with_open_mouth,وجه مبتسم بفم مفتوح
😆,smiling_face_with_open_mouth_&_closed_eyes,وجه مبتسم بفم مفتوح وعيون مغلقة
😅,smiling_face_with_open_mouth_&_cold_sweat,وجه مبتسم بفم مفتوح وعرق بارد
😄,smiling_face_with_open_mouth_&_smiling_eyes,وجه مبتسم بفم مفتوح وعينين مبتسمتين
😊,smiling_face_with_smiling_eyes,وجه مبتسم بعيون مبتسمة
😎,smiling_face_with_sunglasses,وجه مبتسم يرتدي نظارة شمسية
😏,smirking_face,وجه مبتسم
🐌,snail,حلزون
🐍,snake,ثعبان
🤧,sneezing_face,وجه يعطس
🏔,snow-capped_mountain,الجبال المغطاة بالثلوج
🏂,snowboarder,على الجليد
🏂 🏿,snowboarder_dark_skin_tone,التزلج على الجليد لهجة البشرة الداكنة
🏂 🏻,snowboarder_light_skin_tone,التزلج على الجليد لهجة البشرة الفاتحة
🏂 🏾,snowboarder_medium-dark_skin_tone,متزلج على الجليد لون بشرة متوسط ​​داكن
🏂 🏼,snowboarder_medium-light_skin_tone,التزلج على الجليد لون بشرة متوسط ​​فاتح
🏂 🏽,snowboarder_medium_skin_tone,التزلج على الجليد لون بشرة متوسط
❄,snowflake,ندفة الثلج
☃,snowman,الرجل الثلجي
⛄,snowman_without_snow,ثلج بدون ثلج
⚽,soccer_ball,كرة القدم
🍦,soft_ice_cream,آيس كريم ناعم
♠,spade_suit,بدلة بأسمائها الحقيقية
🍝,spaghetti,معكرونة
❇,sparkle,التألق
🎇,sparkler,الماسة
✨,sparkles,بريق
💖,sparkling_heart,تألق القلب
🙊,speak-no-evil_monkey,قرد لا يتكلم الشر
🔊,speaker_high_volume,مكبر صوت عالي
🔈,speaker_low_volume,مكبر صوت منخفض
🔉,speaker_medium_volume,مكبر صوت متوسط ​​الحجم
🗣,speaking_head,يتحدث رئيس
💬,speech_balloon,بالون الكلام
🚤,speedboat,قارب سريع
🕷,spider,العنكبوت
🕸,spider_web,الشبكه العنكبوتيه
🗓,spiral_calendar,تقويم حلزوني
🗒,spiral_notepad,المفكرة الحلزونية
🐚,spiral_shell,قذيفة لولبية
🥄,spoon,ملعقة
🚙,sport_utility_vehicle,سيارة رياضية
🏅,sports_medal,ميدالية رياضية
🐳,spouting_whale,تنفث الحوت
🦑,squid,حبار
🏟,stadium,ملعب
☪,star_and_crescent,النجم والهلال
✡,star_of_David,نجمة داود
🚉,station,محطة
🍜,steaming_bowl,وعاء تبخير
⏹,stop_button,زر التوقف
🛑,stop_sign,لافتة توقف
⏱,stopwatch,ساعة التوقيف
📏,straight_ruler,مسطرة مستقيمة
🍓,strawberry,الفراولة
🎙,studio_microphone,ميكروفون الاستوديو
🥙,stuffed_flatbread,خبز مسطح محشو
☀,sun,شمس
⛅,sun_behind_cloud,شمس خلف سحابة
🌥,sun_behind_large_cloud,شمس خلف سحابة كبيرة
🌦,sun_behind_rain_cloud,الشمس وراء سحابة المطر
🌤,sun_behind_small_cloud,شمس خلف سحابة صغيرة
🌞,sun_with_face,الشمس مع الوجه
🌻,sunflower,دوار الشمس
🕶,sunglasses,نظارة شمسيه
🌅,sunrise,شروق الشمس
🌄,sunrise_over_mountains,شروق الشمس فوق الجبال
🌇,sunset,غروب الشمس
🍣,sushi,سوشي
🚟,suspension_railway,السكك الحديدية المعلقة
💦,sweat_droplets,قطرات العرق
🕍,synagogue,كنيس أو مجمع يهودي
💉,syringe,حقنة
👕,t-shirt,تي شيرت
🌮,taco,تاكو
🎋,tanabata_tree,شجرة تاناباتا
🍊,tangerine,يوسفي
🚕,taxi,سيارة اجره
🍵,teacup_without_handle,فنجان بدون مقبض
📆,tear-off_calendar,التقويم المسيل للدموع
☎,telephone,هاتف
📞,telephone_receiver,جهاز استقبال الهاتف
🔭,telescope,تلسكوب
📺,television,التلفاز
🕥,ten-thirty,1030
🕙,ten_o’clock,العاشرة تماما
🎾,tennis,تنس
⛺,tent,خيمة
🌡,thermometer,ميزان الحرارة
🤔,thinking_face,وجه مفكر
💭,thought_balloon,بالون الفكر
🕞,three-thirty,الثالثة و النصف
🕒,three_o’clock,الساعة الثالثة
👎,thumbs_down,استهجن
👎 🏿,thumbs_down_dark_skin_tone,يتجاهل لون البشرة الداكنة
👎 🏻,thumbs_down_light_skin_tone,يتجاهل لون البشرة الفاتح
👎 🏾,thumbs_down_medium-dark_skin_tone,يتجاهل لون البشرة المتوسط ​​الداكن
👎 🏼,thumbs_down_medium-light_skin_tone,يتجاهل لون البشرة المتوسط ​​الفاتح
👎 🏽,thumbs_down_medium_skin_tone,يتجاهل لون بشرة متوسط
👍,thumbs_up,رضى وقبول
👍 🏿,thumbs_up_dark_skin_tone,ممتاز لون البشرة الداكنة
👍 🏻,thumbs_up_light_skin_tone,ممتاز لون البشرة الفاتح
👍 🏾,thumbs_up_medium-dark_skin_tone,درجة لون البشرة متوسطة إلى داكنة
👍 🏼,thumbs_up_medium-light_skin_tone,درجة لون بشرة متوسطة وخفيفة
👍 🏽,thumbs_up_medium_skin_tone,لون بشرة متوسط ​​ممتاز
🎫,ticket,تذكرة
🐅,tiger,نمر
🐯,tiger_face,وجه النمر
⏲,timer_clock,ساعة الموقت
😫,tired_face,وجه متعب
🚽,toilet,الحمام
🍅,tomato,طماطم
👅,tongue,لسان
🎩,top_hat,قبعة عالية
🌪,tornado,إعصار
🖲,trackball,كرة التتبع
🚜,tractor,جرار زراعى
™,trade_mark,العلامة التجارية
🚆,train,قطار
🚊,tram,نوع من القطارات
🚋,tram_car,سيارة الترام
🚩,triangular_flag,العلم الثلاثي
📐,triangular_ruler,مسطرة مثلثة
🔱,trident_emblem,شعار ترايدنت
🚎,trolleybus,ترولي باص
🏆,trophy,غنيمة
🍹,tropical_drink,مشروب استوائي
🐠,tropical_fish,أسماك إستوائية
🎺,trumpet,بوق
🌷,tulip,توليب
🥃,tumbler_glass,بهلوان الزجاج
🦃,turkey,ديك رومي
🐢,turtle,سلحفاة
🕧,twelve-thirty,1230
🕛,twelve_o’clock,الساعة الثانية عشر
🐫,two-hump_camel,جمل ذو سنامين
🕝,two-thirty,اثنان ثلاثون
💕,two_hearts,قلبين
👬,two_men_holding_hands,رجلين يمسكان أيديهما
🕑,two_o’clock,الساعة الثانية
👭,two_women_holding_hands,امرأتان يمسكان أيديهما
☂,umbrella,مظلة
⛱,umbrella_on_ground,مظلة على الارض
☔,umbrella_with_rain_drops,مظلة مع قطرات المطر
😒,unamused_face,وجه غير مستمتع
🦄,unicorn_face,وجه وحيد القرن
🔓,unlocked,مفتوحة
↕,up-down_arrow,سهم لأعلى لأسفل
↖,up-left_arrow,سهم لأعلى اليسار
↗,up-right_arrow,سهم لأعلى لليمين
⬆,up_arrow,سهم للاعلى
🔼,up_button,زر لأعلى
🙃,upside-down_face,وجه مقلوب
🚦,vertical_traffic_light,إشارة المرور العمودية
📳,vibration_mode,وضع الاهتزاز
✌,victory_hand,يد النصر
✌ 🏿,victory_hand_dark_skin_tone,النصر يد لهجة البشرة الداكنة
✌ 🏻,victory_hand_light_skin_tone,يد النصر بلون البشرة الفاتح
✌ 🏾,victory_hand_medium-dark_skin_tone,يد النصر بلون بشرة متوسط ​​داكن
✌ 🏼,victory_hand_medium-light_skin_tone,يد النصر بلون بشرة متوسط ​​فاتح
✌ 🏽,victory_hand_medium_skin_tone,يد النصر لون البشرة المتوسط
📹,video_camera,كاميرا فيديو
🎮,video_game,لعبة فيديو
📼,videocassette,شريط فيديو
🎻,violin,كمان
🌋,volcano,بركان
🏐,volleyball,الكرة الطائرة
🖖,vulcan_salute,تحية فولكان
🖖 🏿,vulcan_salute_dark_skin_tone,فولكان يحيي لون البشرة الداكنة
🖖 🏻,vulcan_salute_light_skin_tone,فولكان تحية لون البشرة الفاتح
🖖 🏾,vulcan_salute_medium-dark_skin_tone,فولكان تحية للون البشرة المتوسطة الداكنة
🖖 🏼,vulcan_salute_medium-light_skin_tone,فولكان تحيه متوسط ​​لون البشرة الفاتح
🖖 🏽,vulcan_salute_medium_skin_tone,فولكان تحيه متوسط ​​لون البشرة
🌘,waning_crescent_moon,تناقص الهلال
🌖,waning_gibbous_moon,تضاءل القمر محدب
⚠,warning,تحذير
🗑,wastebasket,سلة مهملات
⌚,watch,راقب
🐃,water_buffalo,جاموس الماء
🚾,water_closet,خزانة المياه
🌊,water_wave,موجة المياه
🍉,watermelon,البطيخ
👋,waving_hand,يد تلوح
👋 🏿,waving_hand_dark_skin_tone,يلوح بيده بلون البشرة الداكن
👋 🏻,waving_hand_light_skin_tone,تلويح يد بلون بشرة فاتحة
👋 🏾,waving_hand_medium-dark_skin_tone,تلويح يد بلون بشرة متوسط ​​داكن
👋 🏼,waving_hand_medium-light_skin_tone,تلويح يد بلون بشرة متوسط ​​فاتح
👋 🏽,waving_hand_medium_skin_tone,تلويح يد بلون بشرة متوسط
〰,wavy_dash,اندفاعة مموجة
🌒,waxing_crescent_moon,صبح الهلال القمر
🌔,waxing_gibbous_moon,الصبح الحدب القمر
🙀,weary_cat_face,وجه قطة منهك
😩,weary_face,وجه مرهق
💒,wedding,حفل زواج
🐋,whale,حوت
☸,wheel_of_dharma,عجلة دارما
♿,wheelchair_symbol,رمز كرسي متحرك
⚪,white_circle,دائرة بيضاء
❕,white_exclamation_mark,علامة تعجب بيضاء
🏳,white_flag,علم أبيض
💮,white_flower,زهرة بيضاء
✅,white_heavy_check_mark,علامة صح بيضاء ثقيلة
⬜,white_large_square,مربع كبير أبيض
◽,white_medium-small_square,مربع أبيض متوسط ​​صغير
◻,white_medium_square,مربع أبيض متوسط
⭐,white_medium_star,نجمة متوسطة بيضاء
❔,white_question_mark,علامة استفهام بيضاء
▫,white_small_square,مربع صغير أبيض
🔳,white_square_button,زر مربع أبيض
🥀,wilted_flower,زهرة ذابلة
🎐,wind_chime,تتناغم الرياح
🌬,wind_face,وجه الريح
🍷,wine_glass,كأس نبيذ
😉,winking_face,وجه يغمز
🐺,wolf_face,وجه الذئب
👩,woman,النساء
👩 ‍ 🎨,woman_artist,فنانة
👩 🏿 ‍ 🎨,woman_artist_dark_skin_tone,فنانة بشرة داكنة اللون
👩 🏻 ‍ 🎨,woman_artist_light_skin_tone,فنانة بشرة فاتحة اللون
👩 🏾 ‍ 🎨,woman_artist_medium-dark_skin_tone,امرأة فنانة بلون بشرة داكن متوسط
👩 🏼 ‍ 🎨,woman_artist_medium-light_skin_tone,فنانة بشرة ذات لون فاتح متوسط
👩 🏽 ‍ 🎨,woman_artist_medium_skin_tone,فنانة بشرة متوسطة
👩 ‍ 🚀,woman_astronaut,رائدة فضاء
👩 🏿 ‍ 🚀,woman_astronaut_dark_skin_tone,رائدة فضاء لون البشرة الداكنة
👩 🏻 ‍ 🚀,woman_astronaut_light_skin_tone,رائدة فضاء بشرة فاتحة اللون
👩 🏾 ‍ 🚀,woman_astronaut_medium-dark_skin_tone,رائدة فضاء بلون بشرة متوسط ​​داكن
👩 🏼 ‍ 🚀,woman_astronaut_medium-light_skin_tone,رائدة فضاء متوسطة لون البشرة الفاتحة
👩 🏽 ‍ 🚀,woman_astronaut_medium_skin_tone,امرأة رائدة فضاء لون بشرة متوسط
🚴 ‍ ♀ ️,woman_biking,امرأة ركوب الدراجات
🚴 🏿 ‍ ♀ ️,woman_biking_dark_skin_tone,امرأة تركب دراجة بلون البشرة الداكنة
🚴 🏻 ‍ ♀ ️,woman_biking_light_skin_tone,امرأة ركوب الدراجات لون البشرة الفاتح
🚴 🏾 ‍ ♀ ️,woman_biking_medium-dark_skin_tone,امرأة تركب دراجة بلون بشرة داكن متوسط
🚴 🏼 ‍ ♀ ️,woman_biking_medium-light_skin_tone,امرأة تركب دراجة ذات لون بشرة متوسط ​​الفاتح
🚴 🏽 ‍ ♀ ️,woman_biking_medium_skin_tone,امرأة ركوب الدراجات لون البشرة المتوسطة
⛹ ️ ‍ ♀ ️,woman_bouncing_ball,امرأة ترتد الكرة
⛹ 🏿 ‍ ♀ ️,woman_bouncing_ball_dark_skin_tone,امرأة ترتد الكرة بلون البشرة الداكنة
⛹ 🏻 ‍ ♀ ️,woman_bouncing_ball_light_skin_tone,امرأة ترتد الكرة بلون البشرة الفاتح
⛹ 🏾 ‍ ♀ ️,woman_bouncing_ball_medium-dark_skin_tone,امرأة ترتد الكرة بلون بشرة متوسط ​​داكن
⛹ 🏼 ‍ ♀ ️,woman_bouncing_ball_medium-light_skin_tone,امرأة ترتد الكرة متوسط ​​لون البشرة الفاتح
⛹ 🏽 ‍ ♀ ️,woman_bouncing_ball_medium_skin_tone,امرأة ترتد الكرة متوسطة لون البشرة
🙇 ‍ ♀ ️,woman_bowing,امرأة تنحني
🙇 🏿 ‍ ♀ ️,woman_bowing_dark_skin_tone,امرأة تنحني بلون البشرة الداكن
🙇 🏻 ‍ ♀ ️,woman_bowing_light_skin_tone,امرأة تنحني بشرة فاتحة اللون
🙇 🏾 ‍ ♀ ️,woman_bowing_medium-dark_skin_tone,امرأة تنحني بلون بشرة متوسط ​​داكن
🙇 🏼 ‍ ♀ ️,woman_bowing_medium-light_skin_tone,امرأة تنحني بلون بشرة متوسط ​​فاتح
🙇 🏽 ‍ ♀ ️,woman_bowing_medium_skin_tone,امرأة تنحني بلون بشرة متوسط
🤸 ‍ ♀ ️,woman_cartwheeling,امرأة تتنقل
🤸 🏿 ‍ ♀ ️,woman_cartwheeling_dark_skin_tone,امرأة تتأرجح بلون البشرة الداكن
🤸 🏻 ‍ ♀ ️,woman_cartwheeling_light_skin_tone,امرأة cartwheeling لون البشرة الفاتح
🤸 🏾 ‍ ♀ ️,woman_cartwheeling_medium-dark_skin_tone,امرأة تتأرجح بلون بشرة متوسط ​​داكن
🤸 🏼 ‍ ♀ ️,woman_cartwheeling_medium-light_skin_tone,امرأة تتأرجح بلون بشرة متوسط ​​فاتح
🤸 🏽 ‍ ♀ ️,woman_cartwheeling_medium_skin_tone,امرأة cartwheeling متوسط ​​لون البشرة
👷 ‍ ♀ ️,woman_construction_worker,عاملة بناء
👷 🏿 ‍ ♀ ️,woman_construction_worker_dark_skin_tone,عامل بناء امرأة لهجة البشرة الداكنة
👷 🏻 ‍ ♀ ️,woman_construction_worker_light_skin_tone,عامل بناء امرأة لون البشرة الفاتح
👷 🏾 ‍ ♀ ️,woman_construction_worker_medium-dark_skin_tone,عاملة بناء متوسطة - لون البشرة غامق
👷 🏼 ‍ ♀ ️,woman_construction_worker_medium-light_skin_tone,عاملة بناء متوسطة لون البشرة فاتح
👷 🏽 ‍ ♀ ️,woman_construction_worker_medium_skin_tone,عامل بناء متوسط ​​لون البشرة
👩 ‍ 🍳,woman_cook,امرأة تطبخ
👩 🏿 ‍ 🍳,woman_cook_dark_skin_tone,امرأة تطبخ لون البشرة الداكنة
👩 🏻 ‍ 🍳,woman_cook_light_skin_tone,امرأة تطبخ لون البشرة الفاتح
👩 🏾 ‍ 🍳,woman_cook_medium-dark_skin_tone,امرأة تطبخ لون بشرة متوسط ​​داكن
👩 🏼 ‍ 🍳,woman_cook_medium-light_skin_tone,امرأة تطبخ لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🍳,woman_cook_medium_skin_tone,امرأة تطبخ لون بشرة متوسط
💃,woman_dancing,امرأة ترقص
💃 🏿,woman_dancing_dark_skin_tone,امرأة ترقص بلون البشرة الداكن
💃 🏻,woman_dancing_light_skin_tone,امرأة ترقص بشرة فاتحة اللون
💃 🏾,woman_dancing_medium-dark_skin_tone,امرأة ترقص بلون بشرة داكن متوسط
💃 🏼,woman_dancing_medium-light_skin_tone,امرأة ترقص بلون بشرة متوسط ​​فاتح
💃 🏽,woman_dancing_medium_skin_tone,امرأة ترقص لون بشرة متوسط
👩 🏿,woman_dark_skin_tone,امرأة لون البشرة الداكنة
🕵 ️ ‍ ♀ ️,woman_detective,امرأة المباحث
🕵 🏿 ‍ ♀ ️,woman_detective_dark_skin_tone,امرأة المباحث لون البشرة الداكنة
🕵 🏻 ‍ ♀ ️,woman_detective_light_skin_tone,المحقق لون البشرة الفاتح
🕵 🏾 ‍ ♀ ️,woman_detective_medium-dark_skin_tone,محققة ذات لون بشرة متوسط ​​داكن
🕵 🏼 ‍ ♀ ️,woman_detective_medium-light_skin_tone,امرأة المباحث لون بشرة متوسط ​​فاتح
🕵 🏽 ‍ ♀ ️,woman_detective_medium_skin_tone,امرأة المباحث لون البشرة المتوسطة
🤦 ‍ ♀ ️,woman_facepalming,وجه امرأة حزن
🤦 🏿 ‍ ♀ ️,woman_facepalming_dark_skin_tone,وجه امرأة يمزج لون البشرة الداكن
🤦 🏻 ‍ ♀ ️,woman_facepalming_light_skin_tone,امرأة الوجه ، لون البشرة الفاتح
🤦 🏾 ‍ ♀ ️,woman_facepalming_medium-dark_skin_tone,تخبط وجه المرأة متوسط ​​لون البشرة غامق
🤦 🏼 ‍ ♀ ️,woman_facepalming_medium-light_skin_tone,احمرار وجه المرأة متوسط ​​لون البشرة فاتح
🤦 🏽 ‍ ♀ ️,woman_facepalming_medium_skin_tone,وجه امرأة متوسطة لون البشرة
👩 ‍ 🏭,woman_factory_worker,عاملة مصنع
👩 🏿 ‍ 🏭,woman_factory_worker_dark_skin_tone,امرأة عامل مصنع لون البشرة الداكنة
👩 🏻 ‍ 🏭,woman_factory_worker_light_skin_tone,امرأة عامل مصنع لون البشرة الفاتح
👩 🏾 ‍ 🏭,woman_factory_worker_medium-dark_skin_tone,عاملة في المصنع بلون بشرة متوسط ​​داكن
👩 🏼 ‍ 🏭,woman_factory_worker_medium-light_skin_tone,عاملة في المصنع لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🏭,woman_factory_worker_medium_skin_tone,عاملة مصنع متوسط ​​لون البشرة
👩 ‍ 🌾,woman_farmer,مزارعة
👩 🏿 ‍ 🌾,woman_farmer_dark_skin_tone,مزارعة بلون البشرة الداكن
👩 🏻 ‍ 🌾,woman_farmer_light_skin_tone,مزارعة بشرة فاتحة اللون
👩 🏾 ‍ 🌾,woman_farmer_medium-dark_skin_tone,مزارعة لون بشرة متوسط ​​داكن
👩 🏼 ‍ 🌾,woman_farmer_medium-light_skin_tone,مزارعة لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🌾,woman_farmer_medium_skin_tone,مزارعة لون بشرة متوسط
👩 ‍ 🚒,woman_firefighter,امرأة إطفائية
👩 🏿 ‍ 🚒,woman_firefighter_dark_skin_tone,امرأة رجال الاطفاء لون البشرة الداكن
👩 🏻 ‍ 🚒,woman_firefighter_light_skin_tone,امرأة رجال الاطفاء لون البشرة الفاتح
👩 🏾 ‍ 🚒,woman_firefighter_medium-dark_skin_tone,امرأة رجال الاطفاء لون بشرة داكن متوسط
👩 🏼 ‍ 🚒,woman_firefighter_medium-light_skin_tone,امرأة رجال الاطفاء لون بشرة فاتح متوسط
👩 🏽 ‍ 🚒,woman_firefighter_medium_skin_tone,امرأة رجال الاطفاء لون بشرة متوسط
🙍 ‍ ♀ ️,woman_frowning,امرأة عابسة
🙍 🏿 ‍ ♀ ️,woman_frowning_dark_skin_tone,امرأة عابسة لون البشرة الداكنة
🙍 🏻 ‍ ♀ ️,woman_frowning_light_skin_tone,امرأة عابسة لون بشرة فاتحة
🙍 🏾 ‍ ♀ ️,woman_frowning_medium-dark_skin_tone,عابسة لون بشرة داكن متوسط
🙍 🏼 ‍ ♀ ️,woman_frowning_medium-light_skin_tone,امرأة عابسة لون بشرة متوسط ​​إلى فاتح
🙍 🏽 ‍ ♀ ️,woman_frowning_medium_skin_tone,امرأة عابسة لون بشرة متوسط
🙅 ‍ ♀ ️,woman_gesturing_NO,امرأة تشير لا
🙅 🏿 ‍ ♀ ️,woman_gesturing_NO_dark_skin_tone,امرأة تشير إلى لون البشرة الداكن
🙅 🏻 ‍ ♀ ️,woman_gesturing_NO_light_skin_tone,امرأة تشير إلى لون البشرة الفاتح
🙅 🏾 ‍ ♀ ️,woman_gesturing_NO_medium-dark_skin_tone,امرأة تشير إلى لون بشرة متوسط ​​داكن
🙅 🏼 ‍ ♀ ️,woman_gesturing_NO_medium-light_skin_tone,امرأة تشير إلى لون بشرة متوسط ​​فاتح
🙅 🏽 ‍ ♀ ️,woman_gesturing_NO_medium_skin_tone,امرأة تشير إلى لون بشرة متوسط
🙆 ‍ ♀ ️,woman_gesturing_OK,امرأة تشير إلى موافق
